,probability
0,0.0
1,0.528
2,0.61
3,0.623
4,0.647
5,0.658
6,0.664
7,0.673
8,0.675
9,0.679
10,0.686
11,0.691
12,0.693
13,0.697
14,0.7
15,0.702
16,0.706
17,0.71
18,0.711
19,0.713
20,0.715
21,0.715
22,0.717
23,0.717
24,0.717
25,0.719
26,0.72
27,0.722
28,0.723
29,0.724
30,0.723
31,0.725
32,0.725
33,0.726
34,0.727
35,0.728
36,0.729
37,0.73
38,0.731
39,0.731
40,0.732
41,0.732
42,0.734
43,0.734
44,0.735
45,0.736
46,0.737
47,0.738
48,0.738
49,0.739
50,0.739
51,0.739
52,0.74
53,0.741
54,0.741
55,0.741
56,0.741
57,0.742
58,0.743
59,0.743
60,0.744
61,0.744
62,0.744
63,0.745
64,0.745
65,0.745
66,0.745
67,0.745
68,0.745
69,0.746
70,0.747
71,0.747
72,0.747
73,0.747
74,0.747
75,0.747
76,0.748
77,0.748
78,0.748
79,0.748
80,0.749
81,0.749
82,0.749
83,0.75
84,0.75
85,0.75
86,0.75
87,0.751
88,0.751
89,0.751
90,0.751
91,0.751
92,0.751
93,0.751
94,0.751
95,0.752
96,0.752
97,0.752
98,0.752
99,0.753
100,0.753
101,0.753
102,0.753
103,0.753
104,0.753
105,0.753
106,0.754
107,0.754
108,0.754
109,0.754
110,0.755
111,0.755
112,0.755
113,0.756
114,0.756
115,0.756
116,0.756
117,0.756
118,0.756
119,0.756
120,0.756
121,0.756
122,0.756
123,0.756
124,0.757
125,0.757
126,0.757
127,0.757
128,0.757
129,0.757
130,0.758
131,0.758
132,0.758
133,0.758
134,0.758
135,0.758
136,0.758
137,0.759
138,0.759
139,0.759
140,0.759
141,0.759
142,0.759
143,0.759
144,0.76
145,0.76
146,0.76
147,0.76
148,0.76
149,0.76
150,0.76
151,0.76
152,0.76
153,0.76
154,0.76
155,0.76
156,0.76
157,0.76
158,0.761
159,0.761
160,0.761
161,0.761
162,0.761
163,0.761
164,0.761
165,0.761
166,0.761
167,0.761
168,0.761
169,0.761
170,0.761
171,0.761
172,0.761
173,0.761
174,0.762
175,0.762
176,0.762
177,0.762
178,0.762
179,0.762
180,0.762
181,0.762
182,0.762
183,0.762
184,0.762
185,0.762
186,0.762
187,0.763
188,0.763
189,0.763
190,0.763
191,0.763
192,0.763
193,0.763
194,0.763
195,0.763
196,0.763
197,0.763
198,0.763
199,0.763
200,0.763
201,0.763
202,0.763
203,0.763
204,0.763
205,0.763
206,0.764
207,0.764
208,0.764
209,0.764
210,0.764
211,0.764
212,0.764
213,0.764
214,0.764
215,0.764
216,0.764
217,0.764
218,0.764
219,0.764
220,0.764
221,0.764
222,0.764
223,0.764
224,0.764
225,0.764
226,0.765
227,0.764
228,0.765
229,0.764
230,0.765
231,0.765
232,0.764
233,0.765
234,0.765
235,0.765
236,0.765
237,0.765
238,0.765
239,0.765
240,0.765
241,0.765
242,0.765
243,0.765
244,0.765
245,0.765
246,0.765
247,0.765
248,0.765
249,0.765
250,0.765
251,0.766
252,0.766
253,0.766
254,0.766
255,0.766
256,0.766
257,0.766
258,0.766
259,0.766
260,0.766
261,0.766
262,0.766
263,0.766
264,0.766
265,0.766
266,0.766
267,0.766
268,0.766
269,0.766
270,0.766
271,0.766
272,0.767
273,0.767
274,0.767
275,0.767
276,0.767
277,0.766
278,0.767
279,0.767
280,0.767
281,0.767
282,0.767
283,0.767
284,0.767
285,0.767
286,0.767
287,0.767
288,0.767
289,0.767
290,0.767
291,0.767
292,0.767
293,0.767
294,0.767
295,0.767
296,0.767
297,0.767
298,0.767
299,0.767
300,0.767
301,0.767
302,0.767
303,0.767
304,0.767
305,0.767
306,0.767
307,0.767
308,0.767
309,0.767
310,0.767
311,0.768
312,0.767
313,0.767
314,0.767
315,0.767
316,0.767
317,0.767
318,0.767
319,0.768
320,0.768
321,0.768
322,0.768
323,0.768
324,0.768
325,0.768
326,0.768
327,0.768
328,0.768
329,0.768
330,0.768
331,0.768
332,0.768
333,0.768
334,0.768
335,0.768
336,0.768
337,0.768
338,0.768
339,0.768
340,0.768
341,0.768
342,0.768
343,0.768
344,0.768
345,0.768
346,0.768
347,0.768
348,0.768
349,0.768
350,0.768
351,0.768
352,0.768
353,0.768
354,0.768
355,0.769
356,0.769
357,0.769
358,0.769
359,0.769
360,0.769
361,0.769
362,0.769
363,0.769
364,0.769
365,0.769
366,0.769
367,0.769
368,0.769
369,0.769
370,0.769
371,0.769
372,0.769
373,0.769
374,0.769
375,0.769
376,0.769
377,0.769
378,0.769
379,0.769
380,0.769
381,0.769
382,0.769
383,0.769
