,Step
532,143.0
533,154.0
534,211.0
535,222.0
536,128.0
537,193.0
538,170.0
539,152.0
540,201.0
541,115.0
542,122.0
543,133.0
544,229.0
545,188.0
546,202.0
547,198.0
548,126.0
549,156.0
550,198.0
551,144.0
552,145.0
553,178.0
554,160.0
555,191.0
556,244.0
557,194.0
558,142.0
559,224.0
560,183.0
561,162.0
562,136.0
563,144.0
564,102.0
565,177.0
566,148.0
567,88.0
568,123.0
569,190.0
570,73.0
571,149.0
572,182.0
573,128.0
574,191.0
575,176.0
576,181.0
577,155.0
578,175.0
579,187.0
580,134.0
581,155.0
582,166.0
583,192.0
584,214.0
585,163.0
586,142.0
587,175.0
588,128.0
589,179.0
590,151.0
591,186.0
592,114.0
593,174.0
594,208.0
595,229.0
596,121.0
597,165.0
598,177.0
599,177.0
600,185.0
601,142.0
602,166.0
603,104.0
604,130.0
605,142.0
606,140.0
607,196.0
608,205.0
609,183.0
610,138.0
611,117.0
612,136.0
613,174.0
614,126.0
615,210.0
616,177.0
617,174.0
618,169.0
619,160.0
620,180.0
621,153.0
622,133.0
623,198.0
624,149.0
625,152.0
626,143.0
627,244.0
628,182.0
629,142.0
630,220.0
631,139.0
632,117.0
633,92.0
634,162.0
635,149.0
636,223.0
637,162.0
638,198.0
639,160.0
640,212.0
641,211.0
642,90.0
643,156.0
644,162.0
645,177.0
646,176.0
647,169.0
648,176.0
649,175.0
650,151.0
651,162.0
652,184.0
653,120.0
654,174.0
655,167.0
656,157.0
657,165.0
658,131.0
659,175.0
660,197.0
661,198.0
662,146.0
663,163.0
664,159.0
665,214.0
666,221.0
667,243.0
668,174.0
669,161.0
670,154.0
671,178.0
672,108.0
673,155.0
674,184.0
675,112.0
676,266.0
677,170.0
678,151.0
679,130.0
680,107.0
681,193.0
682,128.0
683,171.0
684,111.0
685,177.0
686,134.0
687,141.0
688,142.0
689,131.0
690,157.0
691,126.0
692,138.0
693,163.0
694,166.0
695,276.0
696,85.0
697,172.0
698,152.0
699,197.0
700,186.0
701,154.0
702,188.0
703,210.0
704,181.0
705,175.0
706,147.0
707,132.0
708,158.0
709,254.0
710,162.0
711,145.0
712,241.0
713,154.0
714,133.0
715,149.0
716,164.0
717,154.0
718,166.0
719,150.0
720,175.0
721,179.0
722,198.0
723,154.0
724,184.0
725,185.0
726,169.0
727,158.0
728,200.0
729,134.0
730,169.0
731,173.0
732,192.0
733,197.0
734,158.0
735,182.0
736,154.0
737,154.0
738,153.0
739,123.0
740,152.0
741,137.0
742,132.0
743,166.0
744,153.0
745,157.0
746,173.0
747,107.0
748,211.0
749,217.0
750,198.0
751,175.0
752,151.0
753,168.0
754,210.0
755,198.0
756,187.0
757,105.0
758,149.0
759,116.0
760,141.0
761,182.0
762,177.0
763,149.0
764,174.0
765,146.0
766,143.0
767,165.0
768,146.0
769,146.0
770,286.0
771,114.0
772,153.0
773,150.0
774,141.0
775,140.0
776,199.0
777,164.0
778,148.0
779,119.0
780,200.0
781,114.0
782,145.0
783,200.0
784,83.0
785,131.0
786,226.0
787,170.0
788,179.0
789,135.0
790,152.0
791,102.0
792,139.0
793,191.0
794,211.0
795,130.0
796,103.0
797,149.0
798,147.0
799,151.0
800,152.0
801,175.0
802,140.0
803,176.0
804,165.0
805,114.0
806,164.0
807,150.0
808,173.0
809,167.0
810,141.0
811,201.0
812,139.0
813,181.0
814,173.0
815,222.0
816,181.0
817,120.0
818,130.0
819,206.0
820,165.0
821,158.0
822,155.0
823,182.0
824,174.0
825,163.0
826,155.0
827,190.0
828,171.0
829,104.0
830,204.0
831,176.0
832,142.0
833,206.0
834,106.0
835,152.0
836,242.0
837,145.0
838,183.0
839,174.0
840,149.0
841,175.0
842,124.0
843,123.0
844,164.0
845,142.0
846,180.0
847,120.0
848,184.0
849,151.0
850,155.0
851,147.0
852,195.0
853,185.0
854,177.0
855,187.0
856,92.0
857,142.0
858,80.0
859,202.0
860,166.0
861,164.0
862,168.0
863,157.0
864,173.0
865,133.0
866,183.0
867,175.0
868,115.0
869,197.0
870,166.0
871,172.0
872,162.0
873,128.0
874,157.0
875,206.0
876,131.0
877,170.0
878,192.0
879,177.0
880,154.0
881,121.0
882,140.0
883,152.0
884,199.0
885,189.0
886,211.0
887,173.0
888,142.0
889,135.0
890,160.0
891,159.0
892,196.0
893,167.0
894,146.0
895,169.0
896,158.0
897,206.0
898,191.0
899,124.0
900,108.0
901,184.0
902,49.0
903,176.0
904,172.0
905,190.0
906,172.0
907,210.0
908,139.0
909,213.0
910,178.0
911,165.0
912,134.0
913,128.0
914,158.0
915,195.0
916,135.0
917,178.0
918,206.0
919,133.0
920,164.0
921,142.0
922,99.0
923,162.0
924,192.0
925,166.0
926,178.0
927,256.0
928,132.0
929,158.0
930,123.0
931,232.0
932,207.0
933,146.0
934,195.0
935,190.0
936,150.0
937,166.0
938,171.0
939,136.0
940,150.0
941,194.0
942,219.0
943,132.0
944,162.0
945,156.0
946,193.0
947,245.0
948,127.0
949,122.0
950,200.0
951,169.0
952,173.0
953,156.0
954,155.0
955,203.0
956,143.0
957,134.0
958,110.0
959,206.0
960,147.0
961,127.0
962,198.0
963,161.0
964,115.0
965,115.0
966,140.0
967,142.0
968,126.0
969,145.0
970,173.0
971,177.0
972,144.0
973,142.0
974,189.0
975,152.0
976,197.0
977,181.0
978,198.0
979,163.0
980,144.0
981,168.0
982,165.0
983,145.0
984,92.0
985,155.0
986,154.0
987,126.0
988,146.0
989,167.0
990,193.0
991,153.0
992,107.0
993,163.0
994,186.0
995,184.0
996,165.0
997,160.0
998,150.0
999,143.0
1000,140.0
1001,189.0
1002,176.0
1003,161.0
1004,211.0
1005,203.0
1006,117.0
1007,148.0
1008,146.0
1009,195.0
1010,201.0
1011,122.0
1012,151.0
1013,197.0
1014,143.0
1015,178.0
1016,116.0
1017,135.0
1018,181.0
1019,92.0
1020,183.0
1021,116.0
1022,149.0
1023,160.0
1024,175.0
1025,135.0
1026,226.0
1027,146.0
1028,113.0
1029,163.0
1030,154.0
1031,205.0
1032,206.0
1033,204.0
1034,179.0
1035,182.0
1036,173.0
1037,163.0
1038,129.0
1039,176.0
1040,218.0
1041,96.0
1042,161.0
1043,185.0
1044,189.0
1045,130.0
1046,175.0
1047,144.0
1048,206.0
1049,103.0
1050,98.0
1051,135.0
1052,127.0
1053,138.0
1054,131.0
1055,168.0
1056,189.0
1057,108.0
1058,127.0
1059,168.0
1060,143.0
1061,153.0
1062,136.0
1063,181.0
1064,237.0
1065,150.0
1066,171.0
1067,242.0
1068,160.0
1069,130.0
1070,140.0
1071,190.0
1072,128.0
1073,140.0
1074,217.0
1075,160.0
1076,73.0
1077,152.0
1078,130.0
1079,140.0
1080,202.0
1081,130.0
1082,113.0
1083,189.0
1084,213.0
1085,119.0
1086,108.0
1087,154.0
1088,210.0
1089,159.0
1090,181.0
